offset_days,mean_daily_return,std_across_events,car,car_sd_across_events,car_ci_low,car_ci_high,car_t_stat,car_p_value,car_boot_ci_low,car_boot_ci_high,n_events
-30,-0.007478264695719992,0.025947657734562195,,,,,,,,,4
-29,-0.006300194982430948,0.016388310556145782,,,,,,,,,4
-28,0.014426679038111238,0.026273914284898617,,,,,,,,,4
-27,0.03222550450398731,0.04877014231820312,,,,,,,,,4
-26,0.006152656622293808,0.03943567453333369,,,,,,,,,4
-25,0.008763297110523486,0.044090266554172815,,,,,,,,,4
-24,-0.003414216581999581,0.01021923985161169,,,,,,,,,4
-23,0.038215880160400235,0.03943464395199082,,,,,,,,,4
-22,-0.017750331825503115,0.00983546544878301,,,,,,,,,4
-21,-0.008891165464051661,0.02208795157837327,,,,,,,,,4
-20,0.006982762634790255,0.009609134922711147,,,,,,,,,4
-19,-0.008092903640625423,0.03744323253971592,,,,,,,,,4
-18,-0.027672102322433775,0.06470586453942888,,,,,,,,,4
-17,-0.025228435407095736,0.05471511908049491,,,,,,,,,4
-16,0.019302349775607852,0.018053100414958563,,,,,,,,,4
-15,0.01494008609432929,0.030432013306745748,,,,,,,,,4
-14,0.006170554080055072,0.00833797777137193,,,,,,,,,4
-13,-0.011153222701045903,0.02519051342321944,,,,,,,,,4
-12,0.05726426828197362,0.04741546785756583,,,,,,,,,4
-11,-0.017324862082857103,0.018489306681199087,,,,,,,,,4
-10,0.003281795968419047,0.02200598192315657,,,,,,,,,4
-9,0.015887514815231544,0.02579008272993405,,,,,,,,,4
-8,-0.01213241188169267,0.02338304985228283,,,,,,,,,4
-7,-0.0043369546418055,0.03693504604434335,,,,,,,,,4
-6,-0.002887151215912982,0.043317170671743135,,,,,,,,,4
-5,0.006733321563746956,0.030841604575572567,,,,,,,,,4
-4,0.01915690726364716,0.04856407248262418,,,,,,,,,4
-3,-0.013392052507310011,0.022691212069515496,,,,,,,,,4
-2,-0.016087789125606707,0.03706615615800922,,,,,,,,,4
-1,-0.016137286171852283,0.051896774759908885,,,,,,,,,4
0,-0.005010721478656328,0.01924575770161781,-0.005010721478656328,0.01924575770161781,-0.03563501672360586,0.025613573766293203,-0.5207091927833138,0.6385597734267173,-0.0212716439127396,0.011250200955426944,4
1,0.008617919467305394,0.015667633975231795,0.0036071979886490657,0.020653851672350513,-0.029257688983625747,0.03647208496092388,0.34930027056193613,0.7499442163439962,-0.016749733607601756,0.015808618085983016,4
2,0.020327093435739022,0.027169210916566343,0.023934291424388087,0.04137165948608117,-0.041897251013079256,0.08976583386185544,1.1570380169275247,0.33101887103568967,-0.012961961506289253,0.05802338451439275,4
3,0.0127190181092981,0.02992166500916986,0.03665330953368619,0.05962255467040515,-0.05821947987751719,0.13152609894488956,1.2295115409363628,0.30651470983139595,-0.0011961126411124843,0.09473418970051296,4
4,-0.024153441439549225,0.022504449157845535,0.01249986809413696,0.04478779595752539,-0.05876750978927667,0.08376724597755059,0.5581818808851964,0.6156702794236848,-0.01849586054763048,0.05389671781984101,4
5,0.005691848617644717,0.0052211281084180074,0.01819171671178168,0.048179660408176055,-0.05847287441613013,0.09485630783969348,0.7551616826545567,0.505029676734181,-0.017031345363818572,0.060444686031285964,4
6,0.004890570221903538,0.02078545254526091,0.023082286933685213,0.06616137257545365,-0.08219522091894044,0.12835979478631088,0.6977571968405295,0.5355463326176497,-0.02178512110749549,0.08449211654372088,4
7,0.009208777105056524,0.024147396800489905,0.03229106403874173,0.07570172639620507,-0.08816727569785873,0.1527494037753422,0.8531130154083378,0.45629597774067815,-0.02905685749541488,0.09363898557289835,4
8,0.008781116610983134,0.013793805809332463,0.04107218064972487,0.07877157647757575,-0.0842709756114921,0.16641533691094185,1.0428172822316706,0.3736736622616428,-0.022264521164961765,0.10440888246441149,4
9,-0.01013492421333306,0.01382333657230282,0.030937256436391808,0.06738796600842893,-0.07629203528566256,0.13816654815844617,0.9181834166807218,0.42623470436766225,-0.025113923129924796,0.08698843600270842,4
10,-0.026405243228608263,0.028015834258107,0.004532013207783545,0.07384442308211546,-0.1129709424939591,0.12203496890952618,0.12274490120246233,0.9100703243105829,-0.05421293795964889,0.062035369749508434,4
11,-0.01261934477867543,0.022909140657869004,-0.008087331570891886,0.09501832100514668,-0.1592826838794371,0.1431080207376533,-0.17022678332642469,0.8756642541837694,-0.08767509212849509,0.0642221163733537,4
12,0.0002704044896431096,0.006647307552780791,-0.00781692708124878,0.0923376572347694,-0.15474674513392145,0.13911289097142387,-0.16931179142598704,0.8763241294356799,-0.08233061153380924,0.06435331490397293,4
13,-0.0035370075695406733,0.046272266217215564,-0.011353934650789451,0.06015057369109254,-0.10706692015274588,0.08435905085116699,-0.37751708600813594,0.7309148432881176,-0.06255562566873554,0.03984775636715664,4
14,0.011846112621213715,0.007554366733875713,0.0004921779704242617,0.06255214559516589,-0.09904224434802786,0.10002660028887639,0.01573656557233419,0.9884326054667145,-0.05355218656066494,0.05453654250151346,4
15,-0.0003713767083841596,0.0047455786810118505,0.00012080126204009993,0.059880122906779236,-0.09516183669026684,0.09540343921434705,0.004034770009679576,0.9970340303394996,-0.05132697176045613,0.051568574284536324,4
16,0.00208239427778845,0.02728137326131224,0.002203195539828548,0.08047132231853128,-0.12584463565712356,0.13025102673678068,0.05475728436790423,0.9597744319968362,-0.06616139323509405,0.07056778431475115,4
17,0.0006728429889230093,0.027527293182855902,0.0028760385287515573,0.10185426279165948,-0.1591968226206047,0.16494889967810783,0.05647360159357154,0.9585153561128029,-0.07903896696112926,0.08479104401863238,4
18,-0.011638732261906589,0.009392580915395039,-0.008762693733155032,0.10186965622533903,-0.17086004927058085,0.1533346618042708,-0.17203736731518293,0.8743588951072327,-0.08961371320792176,0.0720883257416117,4
19,0.011179022729767011,0.020043626317910603,0.0024163289966119793,0.10641105259489074,-0.16690740158936818,0.17174005958259214,0.045415000372395486,0.9666304894167633,-0.07802034914337401,0.0922431900175803,4
20,-0.018422101239572216,0.017724458226420853,-0.016005772242960237,0.10813535380324657,-0.18807325083380452,0.15606170634788405,-0.2960321796714682,0.7865147336118393,-0.09843286233553739,0.07411517601142176,4
21,0.0223893769013388,0.038637137806668775,0.006383604658378568,0.145077476806481,-0.22446703536295556,0.23723424467971269,0.08800269757784202,0.9354198351643653,-0.10140385022785285,0.1324392725518202,4
22,-0.02961364660558119,0.035170338621062426,-0.023230041947202622,0.12436015093804248,-0.22111479338585138,0.17465470949144613,-0.37359301628342456,0.7335462082135772,-0.12338130772911259,0.07692122383470734,4
23,-0.0022028814392214234,0.024844140212244528,-0.02543292338642404,0.1348096419193282,-0.23994514680781687,0.1890793000349688,-0.37731608843888814,0.7310495061717708,-0.12911897809747958,0.08640364189208555,4
