bucket,n,mean_predicted,share_positive,gap
"(-0.001, 0.2]",13,0.014566137739881647,0.5384615384615384,-0.5238954007216567
"(0.2, 0.4]",3,0.2477361971128572,1.0,-0.7522638028871428
"(0.4, 0.6]",70,0.5527121872774889,0.5857142857142857,-0.0330020984367968
"(0.6, 0.8]",62,0.6414281951472164,0.5806451612903226,0.060783033856893764
"(0.8, 1.0]",7,0.9122041923799628,0.7142857142857143,0.19791847809424845
