strategy,sharpe,max_drawdown,volatility,turnover_annual,total_cost,cagr
buy and hold,1.1365711402900351,-0.8318705353076481,0.6656623442312813,0.08994578610152784,0.0025,0.7035950159567721
"vol target, band 0%",1.0929330011224652,-0.7221635198058339,0.5252201443321097,8.721790921863548,0.24241799699261832,0.5443351727879948
"vol target, band 10%",1.1090110690761517,-0.7109172261890326,0.5117641909763886,5.394701525285558,0.1499431423945808,0.5451184771112756
"vol target, band 30%",1.0704043408137247,-0.6824063068708511,0.4765353909854765,1.1475222428504952,0.031894830558132255,0.4847131009983252
"vol target, EWMA band 10%",1.1540838297055214,-0.7257741135815798,0.5297759581735253,2.166745573611505,0.0602236543679143,0.5991679186826968
