kategoria,n,offset,car,ci_low,ci_high,p_value,t_stat,boot_ci_low,boot_ci_high
credit_event,7,365,-1.3144719992452827,-3.909635291253648,1.2806912927630827,0.2614817625526747,-1.2393813995659535,-3.051945865710625,0.4594263956512845
halving,4,365,1.2522700685462427,-1.90525831374404,4.409798450836526,0.2960927555550979,1.26215247191909,-0.37394155582902167,2.8784816929215076
macro,4,365,1.0610221231571106,-1.5544916543196154,3.6765359006338367,0.2871860047221382,1.2910067477920861,-0.2919459873120312,2.4139902336262526
market_structure,3,365,-3.0132644304625713,-9.825630650264188,3.7991017893390455,0.19734433409557062,-1.9031611056817634,-4.707736738573983,0.150658304848303
regulation,3,365,-1.9442519937442153,-4.487799120315908,0.5992951328274776,0.08132998146208785,-3.288887813720086,-3.126286751914827,-1.3309110851326256
