target,at_the_cap,total_return,cagr,volatility,sharpe,sortino,max_drawdown,calmar,win_rate,days,time_in_market,average_position,turnover_total,turnover_annual,n_position_changes,total_cost
0.1,0.0,0.8161637091263247,0.055349678148690185,0.059289245754668846,0.9384330405286366,1.1289187756988464,-0.18267910611761518,0.3029885536721103,0.525235032162296,4043,0.9997526589166461,0.08565304545436667,0.6914794187395422,0.062426413020018036,3,0.0017286985468488556
0.15,0.0,5.303707767521474,0.1808293247213153,0.2038373671838658,0.9180567736614011,1.146432607172079,-0.37103537339340054,0.4873641105091778,0.5254824344383968,4043,0.9997526589166461,0.307261375505428,2.9265152064844626,0.2642043161926364,10,0.007316288016211156
0.2,0.0,9.096388615560732,0.23212737042459386,0.22490563605385158,1.0414622882873628,1.2826296001915747,-0.44858998561550356,0.5174599921264301,0.5254824344383968,4043,0.9997526589166461,0.3076371378182897,8.692027255987814,0.7847118348838863,27,0.021730068139969534
0.25,0.0002473410833539451,13.713090944490421,0.2747344434630872,0.2519690765863742,1.090508745884588,1.3827439165138442,-0.41144541471247953,0.6677299919725032,0.525235032162296,4043,0.9997526589166461,0.3961268910333206,18.115967903248453,1.635500441426091,55,0.04528991975812114
0.3,0.011872372000989364,30.51322347852236,0.3654731868555092,0.29608712643843954,1.2012232935583,1.5736789387623962,-0.5145028229674664,0.7103424326179435,0.5254824344383968,4043,0.9997526589166461,0.48113114312876415,19.638042692651627,1.7729125854112897,56,0.04909510673162907
0.35,0.036606480336383876,34.65059836866477,0.38076512652859784,0.3370747214033237,1.1274105169891258,1.464823813463148,-0.5238715670737439,0.7268291513805303,0.524987629886195,4043,0.9997526589166461,0.5567033793199243,24.067233489682444,2.172777695704698,70,0.060168083724206116
0.4,0.08706406134058867,50.8623190145354,0.4282885911884613,0.3738968188633054,1.1410723013662643,1.534842938881794,-0.5574689446812471,0.7682734532115519,0.524740227610094,4043,0.9997526589166461,0.6258286028581,30.62042138974742,2.764396192742471,88,0.07655105347436855
0.45,0.18847390551570617,64.94676516651344,0.4596067765823908,0.39974826851777184,1.1470927600544514,1.5306757058515508,-0.6338906845620431,0.7250568398870453,0.524987629886195,4043,0.9997526589166461,0.6585347395130906,25.49103385130428,2.3013176739366963,74,0.06372758462826071
0.5,0.29928271085827357,71.14255169404986,0.47148754660888836,0.4328415144366312,1.111029333268973,1.4639510350766283,-0.6531413089102835,0.7218767825228041,0.524987629886195,4043,0.9997526589166461,0.6942666018907416,19.791552057833336,1.7867713334427822,57,0.04947888014458335
0.55,0.4063813999505318,99.68662782501674,0.5164471634311014,0.4477773517588891,1.1558968668746044,1.5353737858755006,-0.6523566260161098,0.7916638581338605,0.5254824344383968,4043,0.9997526589166461,0.722409925307991,15.761295894209889,1.4229218405606257,46,0.03940323973552473
0.6,0.5023497402918625,74.55014543451469,0.4776314823715202,0.47685549957999324,1.059987082306602,1.3865197874463642,-0.6824063052979905,0.6999224342790179,0.5254824344383968,4043,0.9997526589166461,0.7499762315325498,12.757932526373153,1.1517797111368293,36,0.03189483131593288
0.65,0.5928765767994064,125.11197590610404,0.5475875294770343,0.49840656649457976,1.1279662681146627,1.5027345329632993,-0.7006709848246173,0.781518774627294,0.5254824344383968,4043,0.9997526589166461,0.7997913851926942,15.050932608325875,1.3587906015431472,43,0.0376273315208147
0.7,0.6648528320554044,138.66788512328876,0.5619180177379932,0.5116158873043086,1.130014021053857,1.4995861428185826,-0.7223621643499074,0.7778896036778081,0.524987629886195,4043,0.9997526589166461,0.7927654561262578,14.201333363833633,1.2820892104376147,40,0.03550333340958409
0.75,0.7286668315607222,134.75770864292113,0.5579191038585547,0.5257978831587511,1.1089990948111277,1.4679207437356525,-0.726869000111928,0.7675648621314745,0.525235032162296,4043,0.9997526589166461,0.8181062588539377,9.439854890159548,0.8522253363611761,26,0.023599637225398873
0.8,0.7825871877318823,180.56756274392,0.5993548608474908,0.5495153046267822,1.1320909312786198,1.5142018734891687,-0.7400861986062475,0.8098446667107343,0.525235032162296,4043,0.9997526589166461,0.8559569364139501,10.067741539094113,0.9089106262105742,28,0.02516935384773528
0.85,0.8184516448182043,158.71645187421413,0.5809469424233382,0.5445572028407666,1.11527757131167,1.486869225522376,-0.7208084908453314,0.8059657312610595,0.5254824344383968,4043,0.9997526589166461,0.8384064352891782,8.4024082465095,0.7585651768429305,22,0.021006020616273754
0.9,0.8491219391540935,135.0404166596835,0.5582117188872098,0.5290810163303016,1.1043234267753042,1.489114807802533,-0.7211170725635886,0.774093056627759,0.5254824344383968,4043,0.9997526589166461,0.8184568818142013,3.111099306110385,0.28086847557019307,8,0.007777748265275962
0.95,0.8706406134058867,158.73866182241946,0.5809667885994827,0.5511001909054465,1.1080942284926185,1.4997916486817948,-0.7430555131918835,0.7818618909156204,0.5254824344383968,4043,0.9997526589166461,0.8565996108617874,2.5482785289938663,0.2300572997978633,6,0.006370696322484665
1.0,0.891664605490972,153.0666886510834,0.5758150427376214,0.5689372517905839,1.0860242332911434,1.4533778039122873,-0.7539940971195949,0.7636864067468799,0.5254824344383968,4043,0.9997526589166461,0.8759387686096708,4.581513984351119,0.41361677078608916,12,0.011453784960877797
1.05,0.9094731634924561,200.2422105796828,0.6142789961605426,0.5865825449733982,1.1115548540639117,1.498798105869357,-0.7568398061769267,0.811636744192261,0.5254824344383968,4043,0.9997526589166461,0.9070745696236382,3.3743794733992702,0.30463727622822995,8,0.008435948683498175
1.1,0.9265396982438783,216.8959392478337,0.6259079412376998,0.5820677904263245,1.1278386121560946,1.5220230530042358,-0.7492923030514234,0.8353321376567566,0.5254824344383968,4043,0.9997526589166461,0.9006611338577291,2.703024173572544,0.24402765850951735,6,0.006757560433931361
1.15,0.941627504328469,229.81007350949267,0.6343815356468774,0.5876427303208185,1.1318379969719419,1.5196535704982608,-0.7551553160653794,0.8400676286730321,0.5254824344383968,4043,0.9997526589166461,0.9026381443193933,2.7588200608125715,0.249064883056292,6,0.006897050152031429
1.2,0.950779124412565,266.7131286040463,0.6564136197909123,0.6131924142478107,1.1318379969719417,1.5196535704982606,-0.7723691286849905,0.8498703474962805,0.5254824344383968,4043,0.9997526589166461,0.9418832810289323,2.8787687591087705,0.2598937910152613,6,0.0071969218977719265
1.25,0.9601780855800148,303.587880615818,0.6758236767394212,0.6227873933668457,1.1425264470148315,1.5385111354048981,-0.7683572983488324,0.8795695416595092,0.5254824344383968,4043,0.9997526589166461,0.9603397287487592,2.8816951442666334,0.26015798359072995,6,0.007204237860666584
1.3,0.9666089537472174,188.40841377250874,0.6054709685665307,0.5519648567614432,1.1365073535933305,1.474941052287191,-0.7840152981786305,0.7722693294035442,0.5254824344383968,4043,0.9997526589166461,0.8031022986574405,2.5927228009542342,0.23406970624494078,5,0.006481807002385586
1.35,0.9725451397477121,303.38769847273005,0.6757242140895627,0.6392582052919015,1.1299492178071788,1.5123540976086756,-0.7987974434085234,0.845926861265606,0.5254824344383968,4043,0.9997526589166461,0.976765551709352,2.872230755807964,0.2593035433761828,6,0.00718057688951991
