level,observed,hits,n,p_value,within_tolerance
0.5,0.4913151364764268,198,403,0.7650737386393955,True
0.68,0.6476426799007444,261,403,0.16529416075444983,True
0.9,0.8759305210918115,353,403,0.11409374916238396,True
0.95,0.9181141439205955,370,403,0.005774220779576412,False
