level,observed,hits,n,p_value,within_tolerance
0.5,0.44029850746268656,59,134,0.19485665950707512,True
0.68,0.6119402985074627,82,134,0.09578835244063579,True
0.9,0.8208955223880597,110,134,0.0054742364435687585,False
0.95,0.917910447761194,123,134,0.1072628130478528,True
