strategy,total_return,cagr,sharpe,sortino,max_drawdown,calmar,win_rate,time_in_market,turnover_annual,total_cost,days,volatility,average_position,turnover_total,n_position_changes
buy and hold,7279.6035582831455,0.8042946933889987,1.1391076361838033,1.4393593282025254,-0.8485790761565711,0.9478134872613787,0.5215493726132024,0.9998181818181818,0.06636363636363636,0.0025,5500,0.8122234076244023,0.9998181818181818,1.0,1
trend 50/200,8859.98796637728,0.8279708661050349,1.264334176460862,1.2423133355568001,-0.7833918891240097,1.0569050785436054,0.5361842105263158,0.608,1.5927272727272728,0.06,5500,0.6454198202042075,0.608,24.0,24
halving +30d,0.1170712238440077,0.007374193299566789,0.13387133348475916,0.026773482253590147,-0.20534479206522094,0.035911275009227514,0.5161290322580645,0.022545454545454546,0.5309090909090909,0.02,5500,0.07719237149466368,0.022545454545454546,8.0,8
halving +90d,2.420932224626076,0.0850450483470977,0.7566976737825479,0.3012520710163017,-0.21818820820355112,0.38977838925079705,0.532967032967033,0.06618181818181817,0.5309090909090909,0.02,5500,0.11677096002218812,0.06618181818181817,8.0,8
halving +180d,25.54783672707112,0.24309337492720928,0.8646398050730055,0.35776710674466533,-0.7026637554585153,0.345959746804617,0.5593922651933702,0.13163636363636363,0.5309090909090909,0.02,5500,0.31108209926291286,0.13163636363636363,8.0,8
halving +365d,2543.505427338437,0.6827059268566946,1.4168289559791205,0.9270299209389139,-0.7103056768558956,0.9611438414495449,0.569672131147541,0.2661818181818182,0.5309090909090909,0.02,5500,0.4357214688584969,0.2661818181818182,8.0,8
"macro: liquidity up, rates down",2.5670412997462133,0.08806083088868588,0.4628621908247727,0.1881654761513829,-0.5738232488467763,0.15346333747484692,0.5321969696969697,0.096,3.3181818181818183,0.125,5500,0.25690087824404656,0.096,50.0,50
