predictor,n,brier,log_loss,accuracy,auc,mean_probability,base_rate,skill_vs_coin_flip,skill_vs_always_up,skill_vs_momentum
model,155,0.28051985391406975,1.2954833042730183,0.5419354838709678,0.4742926155969634,0.553697691657867,0.5935483870967742,-0.122079415656279,-0.1352427085557506,-0.132816836191733
always_up,155,0.24710121615398487,0.6876422383975446,0.5935483870967742,0.36438923395445133,0.58299792224273,0.5935483870967742,0.01159513538406054,,
coin_flip,155,0.25,0.6931471805599453,0.4064516129032258,0.5,0.5,0.5935483870967742,0.0,,
momentum,155,0.24763037143507888,0.6893286112914129,0.5935483870967742,0.4644582470669427,0.5917731032015587,0.5935483870967742,0.00947851425968449,,
