band,total_return,cagr,volatility,sharpe,sortino,max_drawdown,calmar,win_rate,days,time_in_market,average_position,turnover_total,turnover_annual,n_position_changes,total_cost
0.0,123.20172596757575,0.5433017002524227,0.5253638847903078,1.0915027661199104,1.4648741299017047,-0.7221635183411406,0.7523250433647275,0.5237977805178792,4056,0.9997534516765286,0.8752805250493796,96.96719900445655,8.72609162638724,2145,0.24241799751114138
0.01,123.73368242446347,0.5438953760414231,0.5250943889871634,1.0925271352237629,1.4661710716323093,-0.7223426352446233,0.7529603674262305,0.5237977805178792,4056,0.9997534516765286,0.874600113324951,95.65897464414354,8.608364335579978,1882,0.23914743661035884
0.02,122.44693580856246,0.5424553537065093,0.5239350104572693,1.092009185447001,1.4645320582100887,-0.7218185711142705,0.7515120494463333,0.5237977805178792,4056,0.9997534516765286,0.872427674356727,91.41670766417946,8.226602144335676,1532,0.22854176916044866
0.03,125.0203394785391,0.5453218440746752,0.5223027879902451,1.0973220790460758,1.471432734959081,-0.7218598398047271,0.7554400646837371,0.5240443896424167,4056,0.9997534516765286,0.8684852033356626,87.83398978950751,7.90419286813862,1214,0.2195849744737688
0.04,126.12507913918246,0.5465360911252457,0.5210104775592476,1.1002285739388773,1.4758235301256977,-0.7190310323645648,0.7601008392196065,0.524537607891492,4056,0.9997534516765286,0.8663070322628137,84.30818801275583,7.586905479451647,1023,0.2107704700318896
0.05,128.06095640631042,0.5486408917870764,0.51915879819067,1.1049593732191336,1.4811220917011798,-0.7154474455862987,0.7668500253536767,0.5242909987669544,4056,0.9997534516765286,0.864366434393995,78.69321839739243,7.081613588522741,828,0.19673304599348107
0.06,131.8853996975848,0.5527159435699138,0.5152944168729787,1.113976022333601,1.5015905210334874,-0.715255435544248,0.7727532236778382,0.5247842170160296,4056,0.9997534516765286,0.8621575527769206,71.56347136089308,6.440006668324944,663,0.17890867840223268
0.07,119.77016408160252,0.5394154357486376,0.5109541845071446,1.1022848862001366,1.4787448873021534,-0.7197152922525063,0.7494844719228059,0.5242909987669544,4056,0.9997534516765286,0.8489747535034575,67.32005866721352,6.058141374145201,567,0.1683001466680338
0.08,114.58981525878764,0.5333539521057071,0.510145814225357,1.09551301909347,1.4690581950236448,-0.7090869207598106,0.7521700605254436,0.524537607891492,4056,0.9997534516765286,0.849288978553482,64.1244072420053,5.770564261176513,493,0.16031101810501325
0.09,121.92444334751404,0.5418667200913003,0.5102204715447398,1.1067619712802568,1.4790430367754093,-0.7138786333921228,0.7590459985005058,0.5250308261405672,4056,0.9997534516765286,0.8485763547042284,60.598912570510166,5.453304508933977,426,0.15149728142627542
0.1,123.96667217850168,0.544154672769926,0.5119036103710104,1.1076289091010272,1.481963524434142,-0.7109172236384746,0.7654262052970698,0.524537607891492,4056,0.9997534516765286,0.85190124509408,59.9772572988938,5.397361665211104,390,0.14994314324723448
0.11,106.19029667747118,0.5229791974869007,0.5076302109967542,1.0855214004453266,1.4460670683447587,-0.7147324886078084,0.7317132015442389,0.524537607891492,4056,0.9997534516765286,0.8416356231075035,56.01145691311269,5.040478740948258,346,0.14002864228278175
0.12,122.50953999163288,0.5425257306443994,0.5007985282918237,1.1188790555602028,1.494411385916279,-0.6927888977565559,0.7831039619734803,0.5247842170160296,4056,0.9997534516765286,0.8272726181441792,50.51273657894679,4.545648138884512,292,0.12628184144736698
0.13,115.15288108155592,0.534024633500036,0.5033143155512522,1.1048452692666304,1.4718483321556626,-0.7028401453926694,0.7598095199893314,0.5252774352651048,4056,0.9997534516765286,0.8292724938184087,49.149646527679565,4.422983476973137,267,0.12287411631919891
0.14,131.7071010785784,0.552528347849746,0.5023442072699051,1.1284824075047437,1.532436176423974,-0.7099812996825681,0.7782294380102418,0.5250308261405672,4056,0.9997534516765286,0.831983041326463,48.02378338592847,4.3216668974023404,248,0.12005945846482119
0.15,133.04160614570463,0.5539269091886287,0.5013338861471063,1.1314533567934786,1.5409810341761667,-0.6990099497051857,0.7924449565020538,0.5252774352651048,4056,0.9997534516765286,0.8289195738216382,44.5450531074586,4.008615479344771,218,0.1113626327686465
0.16,104.99826943255356,0.5214473089191205,0.49895643819689195,1.093888176239579,1.4532278626206556,-0.6810112635330767,0.7656955719261666,0.5247842170160296,4056,0.9997534516765286,0.8239088086948804,38.459389109811426,3.460965735966758,181,0.09614847277452856
0.17,109.7907563004725,0.5275138429218036,0.4882245892525027,1.1136279548202164,1.500230890637371,-0.6831491405073369,0.7721796188311799,0.5250308261405672,4056,0.9997534516765286,0.8037319714982581,37.7716776199074,3.3990784840399906,170,0.0944291940497685
0.18,113.91191161086758,0.5325425288798247,0.48979908003646794,1.118354788706203,1.5045170760518816,-0.6927865211146542,0.7686964348310269,0.524537607891492,4056,0.9997534516765286,0.8054488884690053,35.6042233143062,3.2040289718248927,154,0.08901055828576551
0.19,116.61604126100458,0.5357537038311897,0.4945132816274895,1.1166112678000755,1.5011700389937839,-0.6884807000070918,0.778168079113432,0.5247842170160296,4056,0.9997534516765286,0.809639213083747,34.5977412263675,3.113455509769265,142,0.08649435306591875
0.2,145.0908778291027,0.5660107230744593,0.49872524272842683,1.150453841451304,1.5522991244234154,-0.6931728379647448,0.8165506379856837,0.5247842170160296,4056,0.9997534516765286,0.8164158325089695,33.88406188547062,3.0492314073463453,132,0.08471015471367656
